id_aluno,idade_aluno_2020,fase_2020,turma_2020,ponto_virada_2020,pedra_2020,ian_2020,ida_2020,ieg_2020,iaa_2020,ips_2020,ipp_2020,ipv_2020,inde_2020,instituicao_ensino_aluno_2020,anos_pm_2020,inde_conceito_2020,destaque_ieg_2020,destaque_ida_2020,destaque_ipv_2020
pm-1266,12,2,R,Não,Ametista,5.0,7.5,8.7,8.500020000000001,5.0,7.291666666666667,8.22222,7.463612666666667,Escola Pública,2,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1270,10,2,E,Não,Ametista,10.0,6.0,6.5,8.500020000000001,7.5,7.708333333333334,7.888886666666666,7.448612666666667,Escola Pública,1,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1274,15,4,A,Sim,Ametista,5.0,7.333333333333333,8.4,9.16668,7.5,8.958333333333332,8.666673333333334,7.942502666666667,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1275,9,1,G,Não,Topázio,10.0,10.0,8.5,10.000020000000001,7.5,7.1875,7.75,8.718752,Escola Pública,1,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1277,13,3,E,Sim,Ametista,10.0,7.666666666666667,5.9,7.08333,5.0,8.958333333333332,9.111120000000001,7.639723666666667,Escola Pública,3,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1278,9,0,H,Não,Ametista,5.0,10.0,10.0,9.000020000000001,7.5,2.5,4.58334,7.31667,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1281,16,7,A,Sim,Ametista,10.0,6.833333333333333,9.1,7.91667,7.5,8.28125,9.125002499999999,8.381459166666666,Escola Pública,2,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1282,7,0,A,Não,Ágata,10.0,8.5,8.8,7.9166799999999995,2.5,2.5,2.75,6.301668,Rede Decisão/União,0,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1284,16,5,A,Não,Ágata,5.0,4.333333333333333,8.6,8.75001,7.5,7.708333333333334,6.555550000000001,6.793611000000001,Escola Pública,0,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1285,8,0,H,Não,Topázio,10.0,9.0,9.9,9.000020000000001,7.5,7.8125,6.99999,8.61125,Escola Pública,0,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1287,10,0,A,Não,Ágata,5.0,8.5,10.0,8.500020000000001,7.5,2.5,5.58334,7.16667,Escola Pública,0,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1288,16,6,B,Não,Ágata,10.0,6.0,7.8,0.0,7.5,7.1875,7.499995,6.728749,Rede Decisão/União,4,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1289,12,2,L,Não,Ágata,5.0,3.0,7.1,8.500020000000001,7.5,6.666666666666667,6.666663333333334,6.120001333333334,Escola Pública,0,C,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1290,18,8,A,,Ágata,10.0,9.0,0.0,8.33334,8.75,0.0,0.0,7.183333999999999,FIAP,2,C,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,
