id_aluno,idade_aluno_2020,fase_2021,turma_2021,ponto_virada_2021,pedra_2021,ian_2021,ida_2021,ieg_2021,iaa_2021,ips_2021,ipp_2021,ipv_2021,inde_2021,instituicao_ensino_aluno_2021,sinalizador_ingressante_2021,rec_equipe_1_2021,rec_equipe_2_2021,rec_equipe_3_2021,rec_equipe_4_2021,nivel_ideal_2021,defasagem_2021
pm-989,12,2.0,P,Não,Quartzo,5.0,5.8,3.3,0.0,7.5,7.5,6.9,5.207,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-991,10,2.0,N,Não,Ametista,10.0,5.2,5.4,9.0,7.5,7.9,7.7,7.107,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-993,14,5.0,F,Não,Ágata,10.0,6.6,3.6,5.4,5.0,7.0,6.3,6.05,Rede Decisão,Veterano,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),0.0
pm-994,11,2.0,H,Não,Ametista,5.0,7.4,7.5,9.5,7.5,7.5,8.3,7.604,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-995,,1.0,F,Não,Ágata,5.0,0.9,5.8,8.0,7.5,7.7,7.9,5.751,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-996,10,2.0,G,Não,Ametista,10.0,5.6,5.8,9.0,7.5,7.3,6.2,6.892,Rede Decisão,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-997,9,2.0,A,Sim,Topázio,10.0,8.6,10.0,8.5,5.0,7.9,9.5,8.767,Rede Decisão,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-999,12,3.0,G,Não,Ágata,10.0,6.4,6.1,7.9,4.4,6.9,7.2,6.858,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1001,,0.0,K,Sim,Topázio,10.0,6.9,10.0,9.5,7.5,8.4,10.0,8.931,Escola Pública,Ingressante,Mantido na Fase + Bolsa,Mantido na Fase + Bolsa,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1002,14,3.0,J,Não,Ametista,5.0,7.5,8.3,8.8,7.5,7.7,8.1,7.693,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 5 (1o EM),-2.0
pm-1004,8,0.0,I,Não,Ametista,5.0,6.4,10.0,10.0,6.9,7.8,6.3,7.506,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-1007,11,2.0,P,Não,Quartzo,5.0,0.8,1.7,0.0,7.5,7.2,6.5,3.752,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1009,,0.0,S,Não,Ametista,10.0,6.3,10.0,7.0,7.5,2.5,7.2,7.4,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1010,9,1.0,B,Não,Ametista,5.0,5.2,10.0,8.0,7.5,7.5,8.1,7.449,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1013,,2.0,M,Não,Ametista,5.0,6.1,7.9,9.0,7.5,8.1,7.7,7.292,Escola Pública,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1014,10,1.0,N,Não,Ametista,5.0,6.3,8.3,9.0,7.5,8.1,8.7,7.636,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1015,12,3.0,J,Sim,Topázio,10.0,6.9,8.9,9.6,7.5,7.9,9.1,8.475,Rede Decisão,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1016,12,2.0,H,Não,Quartzo,5.0,1.1,0.8,9.0,7.5,7.5,8.3,4.946,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1017,11,3.0,J,Sim,Ametista,10.0,5.8,7.2,8.8,7.5,7.9,9.2,7.844,Rede Decisão,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),1.0
pm-1022,8,1.0,F,Não,Ametista,10.0,1.9,9.2,9.0,7.5,7.7,7.9,7.219,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0
pm-1023,,0.0,O,Sim,Ametista,5.0,5.8,10.0,9.0,7.5,7.5,9.2,7.896,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1026,,3.0,B,Não,Ametista,10.0,5.6,6.1,9.6,7.5,7.1,6.2,7.008,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1027,15,6.0,C,Não,Ágata,10.0,6.8,3.9,7.5,0.0,7.1,5.4,5.672,Rede Decisão,Veterano,Mantido na Fase atual,Promovido de Fase,Não avaliado,Promovido de Fase,Nível 6 (2o EM),0.0
pm-1028,12,2.0,D,Não,Ametista,5.0,7.1,5.4,8.4,7.5,7.5,7.8,6.917,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1029,10,2.0,P,Sim,Topázio,10.0,8.4,7.9,9.0,7.5,9.2,9.7,8.782,Escola Pública,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-1031,8,1.0,B,Sim,Topázio,10.0,8.1,10.0,9.5,7.5,7.5,9.0,8.863,Escola Pública,Veterano,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0
pm-1032,,1.0,R,Não,Ametista,5.0,5.1,8.3,10.0,7.5,8.5,8.3,7.451,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-2.0
pm-1034,11,2.0,M,Sim,Ametista,5.0,5.8,9.2,8.0,7.5,8.3,9.0,7.679,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1035,10,1.0,C,Sim,Ametista,5.0,6.0,7.9,9.5,6.9,8.8,9.6,7.718,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1038,,4.0,F,Não,Ágata,10.0,6.5,6.1,8.3,0.0,8.0,7.3,6.619,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Nível 4 (9o ano),0.0
pm-1043,,0.0,M,Não,Topázio,10.0,6.8,10.0,9.5,7.5,7.5,7.8,8.367,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1044,,0.0,L,Não,Topázio,10.0,5.5,10.0,9.0,7.5,7.5,8.8,8.25,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1049,,1.0,R,Não,Ametista,5.0,6.0,8.8,7.9,7.5,8.5,8.1,7.457,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
