id_aluno,idade_aluno_2020,fase_2022,turma_2022,ponto_virada_2022,pedra_2022,ian_2022,ida_2022,ieg_2022,iaa_2022,ips_2022,ipp_2022,ipv_2022,inde_2022,cg_2022,cf_2022,ct_2022,destaque_ieg_2022,destaque_ida_2022,destaque_ipv_2022,nota_port_2022,nota_mat_2022,nota_ing_2022,rec_ava_1_2022,rec_ava_2_2022,rec_ava_3_2022,rec_ava_4_2022,indicado_bolsa_2022,nivel_ideal_2022,ano_ingresso_2022,bolsista_2022,qtd_aval_2022
pm-835,11,2.0,K,Não,Quartzo,5.0,3.25,6.182121971595657,9.50002,5.0,6.25,5.999993333333334,5.661425060985798,769.0,142.0,12.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.666666666666667,3.833333333333333,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2016,Não,3.0
pm-836,,0.0,O,Não,Ágata,5.0,6.0,7.638888888888888,9.50002,7.5,5.0,7.333325,6.894444777777777,527.0,151.0,12.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,6.0,,Mantido na Fase atual,Mantido na Fase atual,,,Não,Fase 2 (5º e 6º ano),2022,Não,2.0
pm-839,,1.0,D,Não,Topázio,5.0,8.0,9.855072463768115,10.00002,7.5,6.25,8.166666666666668,8.079349826086958,123.0,28.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.666666666666667,8.333333333333334,,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2022,Não,3.0
pm-840,8,0.0,I,Não,Ametista,5.0,7.25,8.485838779956426,9.000020000000001,6.875,5.0,7.083325,7.151334755991286,443.0,130.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.333333333333333,7.166666666666667,,Promovido de Fase,Promovido de Fase,,,Não,Fase 2 (5º e 6º ano),2019,Não,2.0
pm-841,,0.0,Y,Não,Ágata,5.0,7.716666666666667,8.230158730158731,7.91668,4.375,4.375,7.41666,6.83936507936508,543.0,154.0,9.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.8,7.633333333333333,,Mantido na Fase atual,Mantido na Fase atual,,,Não,Fase 1 (4º ano),2022,Não,2.0
pm-843,,7.0,A,Não,Quartzo,5.0,4.111111111111112,5.226960784313724,8.33334,5.0,6.71875,7.055553333333332,5.783934045751634,752.0,17.0,9.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.333333333333333,2.6,6.400000000000001,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não,Fase 8 (Universitários),2021,Não,4.0
pm-844,,1.0,R,Não,Ametista,5.0,6.75,8.61111111111111,8.500020000000001,7.5,6.25,7.555556666666667,7.308335555555557,384.0,99.0,7.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.5,8.0,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2022,Não,3.0
pm-847,,0.0,A,Não,Ametista,10.0,7.949999999999999,8.714285714285715,9.50002,8.125,5.0,6.333335,7.862026142857143,181.0,50.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.933333333333334,6.966666666666666,,Mantido na Fase atual,Mantido na Fase atual,,,Não,ALFA  (2º e 3º ano),2022,Não,2.0
pm-848,12,3.0,M,Não,Ágata,5.0,3.916666666666667,7.1875,7.5,7.5,7.34375,5.3749875,6.030205833333333,723.0,102.0,13.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.833333333333333,4.0,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não,Fase 4 (9º ano),2019,Não,4.0
pm-850,12,4.0,B,Não,Ametista,10.0,6.711111111111111,7.776784067859118,7.91667,5.0,7.65625,7.1666625,7.388203535794046,365.0,29.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.666666666666667,7.0,7.466666666666666,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Fase 4 (9º ano),2016,Sim,4.0
